Modelo,Modelo_base,Balanceo,Recall,Precision,F1,ROC_AUC,PR_AUC
XGBoost + class_weight,XGBoost,class_weight,0.7920497948790494,0.305973003989289,0.44142226426994635,0.8270609672011899,0.42296012738070343
Random Forest + class_weight,Random Forest,class_weight,0.772527938888103,0.2980081855388813,0.4301015988028668,0.8145544177025172,0.40191208143323315
Regresión Logística + class_weight,Regresión Logística,class_weight,0.7682840571509407,0.30446238367529993,0.4361023005580761,0.8158609709513275,0.38541727314651264
KNN + adasyn,KNN,adasyn,0.6452114867732353,0.3529639374709797,0.4563053374018308,0.8168525301520393,0.3989243901214975
KNN + smote,KNN,smote,0.6360164096760503,0.3559214692843572,0.4564235318004162,0.8174516272364848,0.40258327615132217
Regresión Logística + smote,Regresión Logística,smote,0.5484509831659358,0.38200807961375505,0.45034266465326983,0.8180842750275742,0.391202875999724
Regresión Logística + adasyn,Regresión Logística,adasyn,0.5460461168482105,0.3816869376050628,0.449307414736352,0.8175898017877121,0.3901631908548302
Random Forest + adasyn,Random Forest,adasyn,0.4026029141321262,0.4153531815528313,0.4088786725091589,0.8090283362565626,0.3895184028727951
Random Forest + smote,Random Forest,smote,0.402319988682982,0.41811231990591,0.4100641626414822,0.8088063910349583,0.3910166754831783
XGBoost + smote,XGBoost,smote,0.35860800679021076,0.4570037858301785,0.4018706404565631,0.8192055631953663,0.40645716793453496
XGBoost + adasyn,XGBoost,adasyn,0.32508134106662895,0.4749896651508888,0.38599143361048116,0.8197482089846224,0.40663719280863214
KNN + none,KNN,none,0.2503890224925732,0.37683627847562273,0.3008669046404896,0.6830436494191305,0.2505109446004023
XGBoost + none,XGBoost,none,0.17414061394822464,0.5418133802816901,0.26356921100524566,0.8237969611207322,0.4153819915225989
Regresión Logística + none,Regresión Logística,none,0.1584382515207243,0.5163669893960351,0.24247672656419136,0.8191623585413654,0.394231584134207
Random Forest + none,Random Forest,none,0.15306266798698542,0.5537359263050153,0.23983154161587053,0.8168370465811027,0.4102747328584082
